,playerID,yearID,R,RBI,SB,SO,IBB,SH,SF,GIDP,BA,OPS,LogSalary,nameFirst,nameLast,nameGiven,bats,teamName
0,abernbr01,2003,1,0,1,0,0,0,0,0,0.0,0.0,12.8772707,Brent,Abernathy,Michael Brent,R,Tampa Bay Devil Rays
1,abreubo01,2003,99,101,22,126,13,0,7,13,0.29982669,0.876570702,16.28951727,Bobby,Abreu,Bob Kelly,L,Philadelphia Phillies
2,alfoned01,2003,56,81,5,41,4,3,7,14,0.258754864,0.725527428,15.46753716,Edgardo,Alfonzo,Edgardo Antonio,R,San Francisco Giants
3,alomaro01,2003,34,22,6,40,2,4,4,8,0.262357414,0.692984918,16.16068444,Roberto,Alomar,Roberto,B,New York Mets
4,alomasa02,2003,22,26,0,17,0,5,1,4,0.268041237,0.68862353,13.72456783,Sandy,Alomar,Santos,R,Chicago White Sox
5,aloumo01,2003,83,91,3,67,7,0,3,16,0.279646018,0.819313674,16.33253471,Moises,Alou,Moises Rojas,R,Chicago Cubs
6,anderga01,2003,80,116,6,83,10,0,4,15,0.315047022,0.885477463,15.75833939,Garret,Anderson,Garret Joseph,L,Anaheim Angels
7,anderma02,2003,59,67,19,60,5,4,5,6,0.269709544,0.703202288,13.57041788,Marlon,Anderson,Marlon Ordell,L,Tampa Bay Devil Rays
8,aurilri01,2003,65,58,2,82,0,0,3,18,0.277227723,0.734671632,15.91382439,Rich,Aurilia,Richard Santo,R,San Francisco Giants
9,ausmubr01,2003,43,47,5,66,1,4,5,8,0.228888889,0.594081408,15.78599094,Brad,Ausmus,Bradley David,R,Houston Astros
10,baergca01,2003,31,39,1,20,1,1,3,6,0.342995169,0.85942029,13.38809581,Carlos,Baerga,Carlos Obed,B,Arizona Diamondbacks
11,bagweje01,2003,109,100,11,119,3,0,3,25,0.27768595,0.897186315,16.64619223,Jeff,Bagwell,Jeffrey Robert,R,Houston Astros
12,bakopa01,2003,19,17,0,47,3,1,1,2,0.228723404,0.641107989,13.79356041,Paul,Bako,Gabor Paul,L,Chicago Cubs
13,baldero01,2003,89,78,27,128,4,3,6,10,0.288854003,0.742003748,12.8772707,Rocco,Baldelli,Rocco Dan,R,Tampa Bay Devil Rays
14,banksbr01,2003,14,23,2,38,1,2,2,4,0.234899329,0.730864942,12.8772707,Brian,Banks,Brian Glen,B,Florida Marlins
15,barajro01,2003,19,28,0,43,7,1,3,6,0.218181818,0.59197861,12.8772707,Rod,Barajas,Rodrigo Richard,R,Arizona Diamondbacks
16,bardjo01,2003,25,36,0,53,1,1,3,9,0.244224422,0.665620221,12.88424577,Josh,Bard,Joshua David,B,Cleveland Indians
17,barremi01,2003,33,30,0,37,7,2,1,6,0.207964602,0.678230088,15.03675426,Michael,Barrett,Michael Patrick,R,Montreal Expos
18,batisto01,2003,76,99,4,102,4,0,6,20,0.234548336,0.663176195,15.93754093,Tony,Batista,Leocadio Francisco,R,Baltimore Orioles
19,bautida01,2003,29,36,3,50,2,2,3,7,0.274647887,0.724494402,15.17985528,Danny,Bautista,Daniel,R,Arizona Diamondbacks
20,bellda01,2003,32,37,0,40,1,0,6,7,0.195286195,0.578805294,15.24439375,David,Bell,David Michael,R,Philadelphia Phillies
21,bellhma01,2003,15,22,3,46,1,0,4,2,0.208633094,0.657587225,13.31552431,Mark,Bellhorn,Mark Christian,B,Chicago Cubs
22,belliro01,2003,73,50,7,71,0,6,1,7,0.277404922,0.760097376,13.33680195,Ronnie,Belliard,Ronald,R,Colorado Rockies
23,bellja01,2003,11,3,0,38,1,1,1,4,0.181034483,0.508804109,13.48340557,Jay,Bell,Jay Stuart,R,New York Mets
24,beltrad01,2003,50,80,2,103,4,1,6,13,0.239713775,0.713921954,15.38957577,Adrian,Beltre,Adrian,R,Los Angeles Dodgers
25,beltrca01,2003,102,100,41,81,4,0,7,8,0.307101727,0.910777256,15.87300233,Carlos,Beltran,Carlos Ivan,B,Kansas City Royals
26,benarma01,2003,5,4,1,9,0,1,1,3,0.197183099,0.504447739,15.51632748,Marvin,Benard,Marvin Larry,L,San Francisco Giants
27,bennega01,2003,26,42,3,48,3,3,2,8,0.237785016,0.601711313,13.72456783,Gary,Bennett,Gary David,R,San Diego Padres
28,bergda01,2003,26,18,0,34,0,1,1,7,0.254658385,0.679460022,13.72456783,Dave,Berg,David Scott,R,Toronto Blue Jays
29,bergebr01,2003,3,3,0,4,0,1,0,0,0.21875,0.543074324,12.89051454,Brandon,Berger,Brandon Charles,R,Kansas City Royals
30,berkmla01,2003,110,93,5,108,13,1,3,10,0.288104089,0.927350863,15.33400596,Lance,Berkman,William Lance,B,Houston Astros
31,berroan01,2003,92,73,21,100,3,13,8,13,0.287477954,0.789119697,12.88391581,Angel,Berroa,Angel Maria,R,Kansas City Royals
