StatType,Stat,Name,Def
Batting,1B,Single,Hits on which the batter reached first base safely without the contribution of a fielding error.
Batting,2B,Double,Hits on which the batter reached second base safely without the contribution of a fielding error.
Batting,3B,Triple,Hits on which the batter reached third base safely without the contribution of a fielding error.
Batting,AB,At bat,"Batting appearances, not including bases on balls, hit by pitch, sacrifices, interference, or obstruction."
Batting,AB/HR,At bats per home run,At bats divided by home runs.
Batting,BA,Batting average,Hits divided by bats.
Batting,BB,Base on balls (walk),Times receiving four balls and advancing to first base.
Batting,BB/K,Walk-to-strikeout ratio,Number of base on balls divided by number of strikeouts.
Batting,XBH,Extra base hits,Doubles plus triples plus home runs.
Batting,FC,Fielder's choice,Times reaching base when a fielder chose to try for an out on another runner.
Batting,AO/GO,Ground ball fly ball ratio,Number of ground ball outs divided by number of fly ball outs.
Batting,GDP or GiDP,Grounded into double play,Number of ground balls hit that became double plays.
Batting,GS,Grand Slam,"A home run with the bases loaded, resulting in four runs scoring, and four RBI credited to the batter."
Batting,H,Hits,"Times reached base because of a batted, fair ball without error by the defense."
Batting,HBP,Hit by pitch,Times touched by a pitch and awarded first base as a result.
Batting,HR,Home runs,"Hits on which the batter successfully touched all four bases, without the contribution of a fielding error."
Batting,IBB,Intentional base on balls,A base on balls (see BB above) deliverately thrown by the pitcher. Anso known as intentional walk.
Batting,K,Strike out,"Number of times that strike three is taken or swung and missed, or bunted foul."
Batting,LOB,Left on base,Number of runners not out nor scored at the end of an inning.
Batting,OPB,On base percentage,Times reached base (H + BB + HBP) divided by at bats plus walks plus hit my pitch plus sacrifice flies (AB + BB + HBP + SF).
Batting,OPS,On-base plus slugging,On-base percentage plus slugging average.
Batting,PA,Plate appearance,Number of completed batting appearances.
Batting,RC,Runs created,Statistic that attempts to measure how many runs a player has contributed to his team.
Batting,RBI,Run batted in,"Number of runners who scored due to a batter's action, except when batter grounded into double play or reached on an error."
Batting,SF,Sacrafice fly,Number of fly ball outs which allow another runner to advance on the basepaths or score.
Batting,SH,Sacrifice hit,Number of sacrifice bunts which allows another runner to advance on the basepaths or score.
Batting,SLG,Slugging average,Total bases divided by at-bats.
Batting,TA,Total average,"Total bases, plus walks, plus steals, divided by plate appearances plus caught stealing."
